Health Center Site Fact Identification Number,Site Name,UDS Number,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Grantee Identification Number,Grant Number,Grantee Name,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Site Address Identification Number,Site Address Source System Identification Number,Enterprise Site Repository Source ID,Site Data Source,Site Address,Site City,Site State Abbreviation,Site Postal Code,U.S. - Mexico Border 100 Kilometer Indicator,Health Center Site Population Type Description,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,County or County Equivalent Federal Information Processing Standard Code,County Equivalent Name,County Description,Complete County Name,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,HHS Region Code,HHS Region Name,U.S. - Mexico Border County Indicator,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,Uniform Resource Locator (URL) for a Member of the U.S. House of Representatives,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date,BPHC Assigned Number,Site Open Date,Site Open Date Text,Site Added to Scope this Date,Site Add to Scope Date Text,BHCMIS Site Identification Number,Federally Qualified Health Center (FQHC) Look-Alike Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Name,Federally Qualified Health Center (FQHC) Look-Alike Street Address,Federally Qualified Health Center (FQHC) Look-Alike Organization City,Federally Qualified Health Center (FQHC) Look-Alike Organization State,Federally Qualified Health Center (FQHC) Look-Alike Organization ZIP Code,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Name,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Telephone Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Email Address,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
105,Hurtt Pediatric Mobile Clinic,,714-240-2070,,30,1316,H80CS12875,"HURTT FAMILY HEALTH CLINIC, INC.","Corporate Entity, Federal Tax Exempt",N,N,N,N,Y,3819,4D76BED0-8C0D-45CB-9E16-4722FE1E9649,984F1CC4-4CC3-49F5-8941-35794DA75655,ESR_SCP,1 Hope Dr,Tustin,CA,92782-0221,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,45,California District 45,645,Mimi Walters,https://walters.house.gov/,3/19/18,3/19/18,BPS-H80-011067,11/15/11,11/15/11,12/13/11,12/13/11,9.00E+06,,,,,  ,,,,,-117.8334284,33.71487845
389,Antelope Valley Community Clinic - Mobile Health Clinic II,,661-942-2391,,42,527,H80CS26613,Antelope Valley Community Clinic,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,4303,57ABD294-FF2D-4620-B2C2-DE0641E21235,B9F9BDEE-CDD6-4E48-8075-0CB79ADF0B09,ESR_SCP,45104 10th St W,Lancaster,CA,93534-2310,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,23,California District 23,623,Kevin McCarthy,http://kevinmccarthy.house.gov/,3/19/18,3/19/18,BPS-H80-018001,,/,11/1/13,11/1/13,09E01050,,,,,  ,,,,,-118.1480636,34.70246635
825,FHCSD Mobile Medical Unit II,09312AV,619-515-2300,www.fhcsd.org,30,1030,H80CS00224,"FAMILY HEALTH CENTERS OF SAN DIEGO, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,Y,8484,ADF60B33-D0FC-48D4-AA20-51482B83E875,62F559EB-8748-4378-9C9C-703E5E380D59,ESR_SCP,823 Gateway Center Way,San Diego,CA,92102-4541,Y,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,51,California District 51,651,Juan Vargas,http://vargas.house.gov,3/19/18,3/19/18,BPS-H80-004452,3/1/02,3/1/02,3/1/02,3/1/02,93120,,,,,  ,,,,,-117.1134135,32.7150325
859,SALUD AMBULANTE MOBILE CLINIC,09072H,760-736-6767,www.nchs-health.org,40,485,H80CS00228,North County Health Project Incorporated,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,5226,6A526E99-17CA-4A53-853F-DDA91DA11E6B,A0786AA4-7A7D-4748-B317-52BB308902B3,ESR_SCP,150 Valpreda Rd,San Marcos,CA,92069-2973,Y,Rural,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,50,California District 50,650,Duncan Hunter,http://hunter.house.gov/,3/19/18,3/19/18,BPS-H80-000939,2/1/02,2/1/02,1/9/02,1/9/02,90720,,,,,  ,,,,,-117.1560417,33.1404913
888,TCHC - Mobile Health Clinic #1,,510-770-8040,,30,704,H80CS02326,TRI-CITY HEALTH CENTER,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,5556,70B8ACB2-A15A-4B47-BD13-1211DF43F4BC,0210275F-9EBB-455C-9737-72F97DAABB50,ESR_SCP,40910 Fremont Blvd,Fremont,CA,94538-4375,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,17,California District 17,617,Ro Khanna,https://khanna.house.gov/,3/19/18,3/19/18,BPS-H80-017373,,/,12/18/15,12/18/15,91220,,,,,  ,,,,,-121.9602586,37.53357103
899,AHS HCH MOBILE CLINIC #1,,510-437-5086,,35,1426,H80CS00047,"ALAMEDA, COUNTY OF",U.S. Government Entity,N,N,N,N,Y,6574,85862AC4-F94B-4BA9-B206-9EF7377C23E3,04168CE1-3E6D-46F9-8A92-2573D970B5C7,ESR_SCP,15400 Foothill Blvd,San Leandro,CA,94578-1009,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,2,Subrecipient,0,Unknown,0,Unknown,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,15,California District 15,615,Eric Swalwell,http://swalwell.house.gov,3/19/18,3/19/18,BPS-H80-018423,,/,8/1/16,8/1/16,90870,,,,,  ,,,,,-122.1181863,37.70647126
916,Contra Costa County Dental Van,,510-981-4100,,16,609,H80CS00808,Lifelong Medical Care,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,11003,E31640FC-7452-4C49-95CE-E0BFD6137C8D,8BDC0F5B-D8B6-4CC0-91CE-38AB139E2076,ESR_SCP,2023 Vale Rd,San Pablo,CA,94806-3834,N,Unknown,2,School,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,13,Contra Costa,County            ,Contra Costa County,6013,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,11,California District 11,611,Mark DeSaulnier,https://desaulnier.house.gov/,3/19/18,3/19/18,BPS-H80-014428,,/,11/19/14,11/19/14,92880,,,,,  ,,,,,-122.3382394,37.95336888
943,TCHC -Mobile Health Clinic #2,,510-770-8040,,30,704,H80CS02326,TRI-CITY HEALTH CENTER,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,5555,70B8ACB2-A15A-4B47-BD13-1211DF43F4BC,48B62003-F9DA-4D8F-A9E4-CE7B1FFB9067,ESR_SCP,40910 Fremont Blvd,Fremont,CA,94538-4375,N,Unknown,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,17,California District 17,617,Ro Khanna,https://khanna.house.gov/,3/19/18,3/19/18,BPS-H80-017371,,/,12/18/15,12/18/15,91220,,,,,  ,,,,,-121.9602586,37.53357103
1035,HEALTHY STEPS MOBILE CLINIC 1G,09108M,619-427-9505,www.syhc.org,40,435,H80CS10748,"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,4743,60F1076F-3DCE-470E-BC71-3BF51A7ED3C5,E963E3DA-06C6-47F5-BA7D-18956406CA0A,ESR_SCP,4004 Beyer Blvd,San Ysidro,CA,92173-2007,Y,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,51,California District 51,651,Juan Vargas,http://vargas.house.gov,3/19/18,3/19/18,BPS-H80-003812,1/1/05,1/1/05,1/1/05,1/1/05,91080,,,,,  ,,,,,-117.0468635,32.55827751
1133,Health in Motion Mobile Clinic Van,,951-275-8060,,20,1115,H80CS24201,Urban Community Action Projects,"Corporate Entity, Federal Tax Exempt",N,N,N,N,Y,6631,86F703B2-AECD-4449-9F67-FB6F9E6C27F6,22E2F15B-F342-42DB-B553-5B02318DCE99,ESR_SCP,3399 Central Ave,Riverside,CA,92506-1456,N,Urban,7,All Other Clinic Types,1,Active,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,65,Riverside,County            ,Riverside County,6065,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,41,California District 41,641,Mark Takano,http://takano.house.gov,3/19/18,3/19/18,BPS-H80-012883,6/1/12,6/1/12,9/16/13,9/16/13,09E00525,,,,,  ,,,,,-117.3820723,33.95374548
