Health Center Site Fact Identification Number,Site Name,UDS Number,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Grantee Identification Number,Grant Number,Grantee Name,Grantee Organization Type Description,Migrant Health Centers HRSA Grant Subprogram Indicator,Community Health HRSA Grant Subprogram Indicator,School Based Health Center HRSA Grant Subprogram Indicator,Public Housing HRSA Grant Subprogram Indicator,Health Care for the Homeless HRSA Grant Subprogram Indicator,Site Address Identification Number,Site Address Source System Identification Number,Enterprise Site Repository Source ID,Site Data Source,Site Address,Site City,Site State Abbreviation,Site Postal Code,U.S. - Mexico Border 100 Kilometer Indicator,Health Center Site Population Type Description,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,County or County Equivalent Federal Information Processing Standard Code,County Equivalent Name,County Description,Complete County Name,State and County Federal Information Processing Standard Code,State FIPS Code,State Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,HHS Region Code,HHS Region Name,U.S. - Mexico Border County Indicator,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,Uniform Resource Locator (URL) for a Member of the U.S. House of Representatives,Data Warehouse Record Create Date Text,Data Warehouse Record Create Date,BPHC Assigned Number,Site Open Date,Site Open Date Text,Site Added to Scope this Date,Site Add to Scope Date Text,BHCMIS Site Identification Number,Federally Qualified Health Center (FQHC) Look-Alike Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Name,Federally Qualified Health Center (FQHC) Look-Alike Street Address,Federally Qualified Health Center (FQHC) Look-Alike Organization City,Federally Qualified Health Center (FQHC) Look-Alike Organization State,Federally Qualified Health Center (FQHC) Look-Alike Organization ZIP Code,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Name,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Telephone Number,Federally Qualified Health Center (FQHC) Look-Alike Organization Site Administrator Contact Email Address,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
26,Brighter Beginnings Admin Site-Pleasant Hill,09E01225,,,,,,,, , , , , ,9884,CBEB5FF6-8CB0-475A-BC70-0C6BB675EF5B,68435431-8315-4F58-9B52-267B9977BE3E,FQHC_LKL,3478 Buskirk Ave Ste 105,Pleasant Hill,CA,94523-4345,N,Unknown,0,Unknown,1,Active,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,13,Contra Costa,County            ,Contra Costa County,6013,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,11,California District 11,611,Mark DeSaulnier,https://desaulnier.house.gov/,3/19/18,3/19/18,BPS-LAL-017322,1/1/15,1/1/15,12/1/15,12/1/15,,LAL00176,Brighter Beginnings,3478 Buskirk Ave Ste 105,Pleasant Hill,CA,94523-4345,BARBARA B MCCULLOUGH,925-448-3702,bbmccullough@brighter-beginnings.org,-122.0591414,37.93966206
36,GVHC - TURLOCK PEDIATRIC HEALTH CENTER 1199 Suite 3,,209-385-5503,,30,130,H80CS00742,Golden Valley Health Centers,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,Y,7509,99E383AC-46A9-4C8C-8FD4-ABD8FA42E1CE,EB2BD528-D379-45F9-A196-8391CC68093E,ESR_SCP,1199 Delbon Ave Ste 3,Turlock,CA,95382-2006,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,99,Stanislaus,County            ,Stanislaus County,6099,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,10,California District 10,610,Jeff Denham,http://denham.house.gov/,3/19/18,3/19/18,BPS-H80-021564,,/,12/21/17,12/21/17,90470,,,,,  ,,,,,-120.8358131,37.51066347
38,"Comprehensive Community Health Centers, Inc-Sunland",,818-273-8800,,40,962,H80CS10607,"COMPREHENSIVE COMMUNITY HEALTH CENTERS, INC","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,2116,2A9F8FA6-2758-4051-8B46-1591F9DD5D0E,A8E75BBA-7B45-4C6F-978B-F14818FA32DA,ESR_SCP,8316 Foothill Blvd,Sunland,CA,91040-2850,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,28,California District 28,628,Adam B. Schiff,http://schiff.house.gov/,3/19/18,3/19/18,BPS-H80-018894,,/,10/31/16,10/31/16,9.00E+65,,,,,  ,,,,,-118.314324,34.25965447
43,Central City Community Health Center - Baldwin Park #2,,626-653-0800,,,370,H80CS10608,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,4729,60979A22-A57B-4FB8-8665-DC1B0DAD6F23,9DFD8B32-1006-4A91-ACDD-04B0F7B70060,ESR_SCP,"4160 N. Main Avenue, Suite #1, 2, &amp; 3",Baldwin Park,CA,91706,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,0,Unknown,37,Los Angeles,County            ,Los Angeles County,6037,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,32,California District 32,632,Grace F. Napolitano,http://napolitano.house.gov/,3/19/18,3/19/18,BPS-H80-014138,6/2/14,6/2/14,8/4/14,8/4/14,9.00E+66,,,,,  ,,,,,-117.9649949,34.088339
53,BORREGO COMMUNITY HEALTH FOUNDATION,99010,760-767-5051,www.borregomedical.org,40,442,H80CS00287,BORREGO COMMUNITY HEALTH FOUNDATION,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,1796,240949F5-8CEC-4667-9C15-3081FE9CC11B,4F0F9141-5928-4D13-AAED-DE09375E9EE4,ESR_SCP,4343 Yaqui Pass Rd,Borrego Springs,CA,92004,Y,Rural,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,73,San Diego,County            ,San Diego County,6073,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,50,California District 50,650,Duncan Hunter,http://hunter.house.gov/,3/19/18,3/19/18,BPS-H80-000521,9/1/02,9/1/02,9/1/02,9/1/02,99010,,,,,  ,,,,,-116.3305107,33.19169514
56,"AltaMed Medical Group: Anaheim, Lincoln",,714-780-5690,www.altamed.org,45,1002,H80CS00142,AltaMed Health Services Corporation,"Corporate Entity, Federal Tax Exempt",N,Y,N,Y,N,7891,A16A52D5-0F6C-4B70-ADB7-5AA5AF525DD8,8A4166C5-DDA0-4FEC-AFD7-D2BD27295D13,ESR_SCP,1814 W Lincoln Ave,Anaheim,CA,92801-6730,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,46,California District 46,646,J. Luis Correa,https://correa.house.gov/,3/19/18,3/19/18,BPS-H80-008473,5/1/09,5/1/09,5/1/09,5/1/09,93110,,,,,  ,,,,,-117.946341,33.83242047
73,Midtown Medical Center,,916-454-2345,,30,1462,H80CS24113,ELICA HEALTH CENTERS,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,4824,628683EC-53A3-4161-8158-55D7BC3A203B,DDDB131E-E321-459E-A9DF-D1CF39D9CCF0,ESR_SCP,3701 J St Ste 104,Sacramento,CA,95816-5542,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,67,Sacramento,County            ,Sacramento County,6067,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,6,California District 06,606,Doris O. Matsui,http://matsui.house.gov,3/19/18,3/19/18,BPS-H80-019270,,/,2/23/17,2/23/17,09E00477,,,,,  ,,,,,-121.4568342,38.5705658
74,HAWTHORNE ELEMENTARY SCHOOL-BASED CLINIC,09123O,510-436-6440,www.laclinica.org,37,1302,H80CS00631,"LA CLINICA DE LA RAZA, INC.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,7913,A1DAE15F-A0D3-49BE-8DCF-28CA821B6D06,2E700824-00DA-43A0-B061-2F31313101D5,ESR_SCP,1700 28th Ave,Oakland,CA,94601-2455,N,Urban,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,13,California District 13,613,Barbara Lee,http://lee.house.gov/,3/19/18,3/19/18,BPS-H80-006808,1/1/90,1/1/90,1/1/90,1/1/90,91230,,,,,  ,,,,,-122.2269785,37.78282166
90,Ampla Health - Yuba City Medical &amp; Dental,,530-673-9420,www.amplahealth.org,69,307,H80CS00765,AMPLA HEALTH,"Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,3789,4CCD3BED-B5ED-478B-90A8-9EC501A4D054,62581445-38AA-445C-8933-D16D47BD5416,ESR_SCP,1000 Sutter St,Yuba City,CA,95991-3459,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,101,Sutter,County            ,Sutter County,6101,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,3,California District 03,603,John Garamendi,http://garamendi.house.gov/,3/19/18,3/19/18,BPS-H80-010583,5/2/11,5/2/11,6/7/11,6/7/11,90850,,,,,  ,,,,,-121.6134348,39.14437456
92,GARDNER SOUTH COUNTY HEALTH CTR,09021P,408-848-9400,www.Gardnerhealth.org,48,950,H80CS00359,"Gardner Family Health Network, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,1461,1D7749D7-599A-447E-9231-C1CB98EC0188,56F15D10-C440-495B-B8DD-AE8423E0329C,ESR_SCP,7526 Monterey St,Gilroy,CA,95020-5826,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,85,Santa Clara,County            ,Santa Clara County,6085,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,20,California District 20,620,Jimmy Panetta,https://panetta.house.gov/,3/19/18,3/19/18,BPS-H80-001936,10/16/06,10/16/06,10/16/06,10/16/06,90210,,,,,  ,,,,,-121.5693932,37.00843369
107,TIBURCIO VASQUEZ HEALTH CENTER,09319H,510-471-5907,www.tvhc.org,48,231,H80CS00223,TIBURCIO VASQUEZ HEALTH CENTER INCORPORATED,"Corporate Entity, Federal Tax Exempt",N,Y,N,N,N,7622,9C32E4AE-7C19-4A30-A035-9140B7E384B4,9AAF377D-99EC-48F6-AA0E-51B6F46AAE42,ESR_SCP,22331 Mission Blvd,Hayward,CA,94541-3911,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1,Alameda,County            ,Alameda County,6001,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,15,California District 15,615,Eric Swalwell,http://swalwell.house.gov,3/19/18,3/19/18,BPS-H80-003874,6/24/04,6/24/04,1/6/04,1/6/04,93190,,,,,  ,,,,,-122.0867795,37.674456
111,Central City Community Health Center - Indio,,760-342-3336,,40,370,H80CS10608,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,5468,6F10EF65-A637-4A44-B742-1D29EC19CB4D,9E5EEB8F-8E57-4E8A-AC2A-C89D48F659E7,ESR_SCP,81709 Doctor Carreon Blvd Ste D1,Indio,CA,92201-5578,N,Unknown,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,65,Riverside,County            ,Riverside County,6065,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,Y,36,California District 36,636,Raul Ruiz,http://ruiz.house.gov,3/19/18,3/19/18,BPS-H80-018251,,/,7/1/16,7/1/16,9.00E+66,,,,,  ,,,,,-116.2407062,33.70722466
114,Central City Community Health Center,,714-490-2750,centralcityhealth.org,46,370,H80CS10608,"CENTRAL CITY COMMUNITY HEALTH CENTER, INC.","Corporate Entity, Federal Tax Exempt",Y,Y,N,N,N,211,0475F813-475E-44B5-ADBA-578A443C5E75,942C83BE-0924-4689-BD0E-AA78A767AB5A,ESR_SCP,2237 W Ball Rd,Anaheim,CA,92804-5314,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,1,Year-Round,59,Orange,County            ,Orange County,6059,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,46,California District 46,646,J. Luis Correa,https://correa.house.gov/,3/19/18,3/19/18,BPS-H80-007664,9/1/05,9/1/05,8/4/08,8/4/08,9.00E+66,,,,,  ,,,,,-117.9608935,33.81782587
120,ALVISO HEALTH CENTER,09021J,408-935-3900,www.gardnerhealth.org,40,950,H80CS00359,"Gardner Family Health Network, Inc.","Corporate Entity, Federal Tax Exempt",N,Y,N,N,Y,10034,CEFF75A5-C04C-41F7-916B-4549062CB43F,A7679E1C-8832-4AAD-8A44-366A93CAF096,ESR_SCP,1621 Gold St,Alviso,CA,95002,N,Urban,7,All Other Clinic Types,1,Active,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,85,Santa Clara,County            ,Santa Clara County,6085,6,California,Dianne Feinstein,Kamala D. Harris,9,Region IX,N,17,California District 17,617,Ro Khanna,https://khanna.house.gov/,3/19/18,3/19/18,BPS-H80-004836,1/1/68,1/1/68,1/1/68,1/1/68,90210,,,,,  ,,,,,-121.9760469,37.42479058
